cubin,kernel,regs,block_size,regs_per_block,smem_static_kb,smem_dynamic,local_bytes,has_spill,const_bytes,theo_blocks_sm,warps_per_sm
phase2/igemm/igemm_8warp_256x256.imma_s02.sm_86.cubin,igemm_8warp_256x256,255,256,65280,40,FALSE,0,FALSE,396,1,8
phase2/igemm/igemm_8warp_256x256.imma_s04.sm_86.cubin,igemm_8warp_256x256,255,256,65280,40,FALSE,0,FALSE,396,1,8
phase2/igemm/igemm_8warp_256x256.sm_86.cubin,igemm_8warp_256x256,255,256,65280,40,FALSE,0,FALSE,396,1,8
phase2/igemm/igemm_warp_specialized.imma_s02.sm_86.cubin,igemm_warp_specialized,255,256,65280,40,FALSE,0,FALSE,388,1,8
phase2/igemm/igemm_warp_specialized.imma_s04.sm_86.cubin,igemm_warp_specialized,255,256,65280,40,FALSE,0,FALSE,388,1,8
phase2/igemm/igemm_warp_specialized.sm_86.cubin,igemm_warp_specialized,255,256,65280,40,FALSE,0,FALSE,388,1,8
phase2/igemm/igemm_online_quant.sm_86.cubin,igemm_online_quant,239,256,61184,48,FALSE,0,FALSE,388,1,8
phase2/igemm/igemm_persistent.sm_86.cubin,igemm_persistent,234,256,59904,32,FALSE,0,FALSE,408,1,8
phase2/igemm/igemm_online_quant_inplace.sm_86.cubin,igemm_online_quant_inplace,213,256,54528,40,FALSE,0,FALSE,388,1,8
phase2/igemm/igemm_online_quant_bankfree.sm_86.cubin,igemm_online_quant_bankfree,211,256,54016,40,FALSE,0,FALSE,388,1,8
phase2/igemm/igemm_8warp_256.sm_86.cubin,igemm_8warp_256,210,256,53760,32,FALSE,0,FALSE,396,1,8
phase3/flash_attention/flash_attn_br16_v2_bc128.sm_86.cubin,flash_attn_br16_v2_bc128,187,128,23936,0,TRUE,0,FALSE,396,2,8
phase3/flash_attention/flash_br16_v2_bc128.sm_86.cubin,flash_attn_br16_v2_bc128,187,128,23936,0,FALSE,0,FALSE,396,2,8
phase2/igemm/igemm_register_blocked.sm_86.cubin,igemm_register_blocked,186,128,23808,8,FALSE,0,FALSE,396,2,8
phase2/igemm/igemm_pipelined_cpasync_bk64.sm_86.cubin,igemm_pipelined_cpasync_bk64,168,128,21504,16,FALSE,0,FALSE,396,3,12
phase2/igemm/igemm_pipelined.imma_s02.sm_86.cubin,igemm_pipelined,168,128,21504,8,FALSE,0,FALSE,396,3,12
phase2/igemm/igemm_pipelined.imma_s04.sm_86.cubin,igemm_pipelined,168,128,21504,8,FALSE,0,FALSE,396,3,12
phase2/igemm/igemm_pipelined.sm_86.cubin,igemm_pipelined,168,128,21504,8,FALSE,0,FALSE,396,3,12
phase3/flash_attention/flash_br16_bc128.sm_86.cubin,flash_attn_bc128,158,128,20224,0,FALSE,0,FALSE,396,3,12
phase4/cross_attention/cross_attn_pipelined.sm_86.cubin,cross_attn_pipelined,158,128,20224,0,TRUE,0,FALSE,400,3,12
phase3/flash_attention/flash_br16_regpv_pad_kv8_w0.sm_86.cubin,flash_attn_br16_regpv_pad,156,128,19968,0,FALSE,0,FALSE,396,3,12
phase3/flash_attention/flash_br16_regpv.sm_86.cubin,flash_attn_br16_regpv,156,128,19968,0,FALSE,0,FALSE,396,3,12
phase3/flash_attention/flash_br16_regpv_pad_kv0_w4.sm_86.cubin,flash_attn_br16_regpv_pad,152,128,19456,0,FALSE,0,FALSE,396,3,12
phase3/flash_attention/flash_br16_regpv_pad_kv8_w4.sm_86.cubin,flash_attn_br16_regpv_pad,152,128,19456,0,FALSE,0,FALSE,396,3,12
phase2/hgemm/hgemm_tiled.sm_86.cubin,hgemm_tiled,148,256,37888,40,FALSE,0,FALSE,388,1,8
phase2/hgemm/hgemm_tiled_direct.sm_86.cubin,hgemm_tiled_direct,145,256,37120,32,FALSE,0,FALSE,388,1,8
phase2/igemm/igemm_8warp_tribuf.imma_s02.sm_86.cubin,igemm_8warp_tribuf,144,256,36864,32,FALSE,0,FALSE,396,1,8
phase2/igemm/igemm_8warp_tribuf.imma_s04.sm_86.cubin,igemm_8warp_tribuf,144,256,36864,32,FALSE,0,FALSE,396,1,8
phase2/igemm/igemm_8warp_tribuf.sm_86.cubin,igemm_8warp_tribuf,144,256,36864,32,FALSE,0,FALSE,396,1,8
phase3/flash_attention/flash_br16_regpv_lean_qcache.sm_86.cubin,flash_attn_br16_regpv_lean_qcache,144,128,18432,0,FALSE,0,FALSE,396,3,12
phase3/flash_attention/flash_br16_v2_pipeline.sm_86.cubin,flash_attn_br16_v2_pipeline,140,128,17920,0,FALSE,0,FALSE,396,3,12
phase3/flash_attention/flash_v2_persistent.sm_86.cubin,flash_attn_v2_persistent,140,128,17920,0,FALSE,0,FALSE,416,3,12
phase3/flash_attention/flash_br16_v2.sm_86.cubin,flash_attn_br16_v2,138,128,17664,0,FALSE,0,FALSE,396,3,12
phase2/igemm/igemm_8warp.imma_s02.sm_86.cubin,igemm_8warp,137,256,35072,24,FALSE,0,FALSE,396,1,8
phase2/igemm/igemm_8warp.imma_s04.sm_86.cubin,igemm_8warp,137,256,35072,24,FALSE,0,FALSE,396,1,8
phase2/igemm/igemm_8warp.sm_86.cubin,igemm_8warp,137,256,35072,24,FALSE,0,FALSE,396,1,8
phase4/cross_attention/cross_attn_v2.sm_86.cubin,cross_attn_v2,136,128,17408,0,TRUE,0,FALSE,400,3,12
phase3/flash_attention/flash_br16_regpv_full.sm_86.cubin,flash_attn_br16_regpv_full,134,128,17152,0,FALSE,0,FALSE,396,3,12
phase3/flash_attention/flash_br16_v2_pipeline_pad.sm_86.cubin,flash_attn_br16_v2_pipeline_pad,134,128,17152,0,FALSE,0,FALSE,396,3,12
phase3/flash_attention/flash_v2_persistent_pad.sm_86.cubin,flash_attn_v2_persistent_pad,134,128,17152,0,FALSE,0,FALSE,416,3,12
phase3/flash_attention/flash_attn_br16_v2_pad.sm_86.cubin,flash_attn_br16_v2_pad,133,128,17024,0,TRUE,0,FALSE,396,3,12
phase3/flash_attention/flash_attn_br16_v2_pipeline_pad2.sm_86.cubin,flash_attn_br16_v2_pipeline_pad2,133,128,17024,0,TRUE,0,FALSE,396,3,12
phase3/flash_attention/flash_br16_v2_pad.sm_86.cubin,flash_attn_br16_v2_pad,133,128,17024,0,FALSE,0,FALSE,396,3,12
phase3/flash_attention/flash_br16_v2_pipeline_pad2.sm_86.cubin,flash_attn_br16_v2_pipeline_pad2,133,128,17024,0,FALSE,0,FALSE,396,3,12
phase4/cross_attention/cross_attn_v2_pad.sm_86.cubin,cross_attn_v2_pad,133,128,17024,0,TRUE,0,FALSE,400,3,12
phase3/flash_attention/flash_br16_regpv_lean.sm_86.cubin,flash_attn_br16_regpv_lean,132,128,16896,0,FALSE,0,FALSE,396,3,12
phase2/igemm/igemm_pipelined_cpasync.imma_s02.sm_86.cubin,igemm_pipelined_cpasync,126,128,16128,8,FALSE,0,FALSE,396,4,16
phase2/igemm/igemm_pipelined_cpasync.imma_s04.sm_86.cubin,igemm_pipelined_cpasync,126,128,16128,8,FALSE,0,FALSE,396,4,16
phase2/igemm/igemm_pipelined_cpasync.sm_86.cubin,igemm_pipelined_cpasync,126,128,16128,8,FALSE,0,FALSE,396,4,16
phase3/flash_attention/flash_fused.sm_86.cubin,flash_attn_fused,126,128,16128,0,FALSE,0,FALSE,396,4,16
phase3/flash_attention/flash_persistent.sm_86.cubin,flash_attn_persistent,126,128,16128,0,FALSE,0,FALSE,416,4,16
phase3/flash_attention/flash_split_q.sm_86.cubin,flash_attn_split_q,126,128,16128,0,FALSE,0,FALSE,416,4,16
phase2/hgemm/hgemm_256x128.sm_86.cubin,hgemm_256x128,124,512,63488,48,FALSE,0,FALSE,388,1,16
phase4/cross_attention/cross_attn.sm_86.cubin,cross_attn_br16,124,128,15872,0,TRUE,0,FALSE,400,4,16
phase3/flash_attention/flash_br16_pipeline.sm_86.cubin,flash_attn_br16_pipeline,122,128,15616,0,FALSE,0,FALSE,396,4,16
phase3/flash_attention/flash_br16.sm_86.cubin,flash_attn_br16,122,128,15616,0,FALSE,0,FALSE,396,4,16
phase3/flash_attention/flash_wmma.sm_86.cubin,flash_attn_4warp,96,128,12288,16,FALSE,0,FALSE,396,5,20
phase2/igemm/igemm_pipelined_cpasync_perchannel.sm_86.cubin,igemm_pipelined_cpasync_perchannel,95,128,12160,12,FALSE,0,FALSE,408,5,20
phase2/hgemm/hgemm_16warp_splitk.sm_86.cubin,hgemm_16warp_splitk,91,512,46592,0,TRUE,0,FALSE,392,1,16
phase2/hgemm/hgemm_16warp_epi_pad.sm_86.cubin,hgemm_16warp_epi_pad,89,512,45568,0,TRUE,0,FALSE,388,1,16
phase2/hgemm_sparse/hgemm_sparse_naive.sm_86.cubin,hgemm_sparse_naive,64,32,2048,0.8,FALSE,0,FALSE,388,16,16
phase2/hgemm/hgemm_16warp_aligned.sm_86.cubin,hgemm_16warp_aligned,64,512,32768,37,FALSE,0,FALSE,388,2,32
phase2/hgemm/hgemm_16warp_epi.sm_86.cubin,hgemm_16warp_epi,64,512,32768,48,FALSE,0,FALSE,388,2,32
phase2/hgemm/hgemm_16warp_persistent.sm_86.cubin,hgemm_16warp_persistent,64,512,32768,37,FALSE,0,FALSE,388,2,32
phase2/hgemm/hgemm_16warp.sm_86.cubin,hgemm_16warp,64,512,32768,37,FALSE,0,FALSE,388,2,32
phase2/igemm/igemm_sparse_tiled_ldsm_fused.sm_86.cubin,igemm_sparse_tiled,64,512,32768,30,FALSE,0,FALSE,404,2,32
phase2/igemm/igemm_sparse_tiled_ldsm.sm_86.cubin,igemm_sparse_tiled,64,512,32768,46,FALSE,0,FALSE,404,2,32
phase2/igemm/igemm_sparse_tiled_persistent.sm_86.cubin,igemm_sparse_tiled_persistent,64,512,32768,31,FALSE,0,FALSE,416,2,32
phase2/igemm/igemm_sparse_tiled.sm_86.cubin,igemm_sparse_tiled,64,512,32768,30,FALSE,0,FALSE,404,2,32
phase2/igemm/igemm_tiled_aggressive.sm_86.cubin,igemm_tiled,64,128,8192,4,FALSE,0,FALSE,396,8,32
phase2/igemm/igemm_tiled_handtuned.sm_86.cubin,igemm_tiled,64,128,8192,4,FALSE,0,FALSE,396,8,32
phase2/igemm/igemm_tiled.imma_s02.sm_86.cubin,igemm_tiled,64,128,8192,4,FALSE,0,FALSE,396,8,32
phase2/igemm/igemm_tiled.imma_s04.sm_86.cubin,igemm_tiled,64,128,8192,4,FALSE,0,FALSE,396,8,32
phase2/igemm/igemm_tiled.sm_86.cubin,igemm_tiled,64,128,8192,4,FALSE,0,FALSE,396,8,32
phase2/sgemm/register_blocked.sm_86.cubin,sgemm_register_blocked,64,256,16384,16.4,FALSE,0,FALSE,388,4,32
phase4/conv2d/conv2d_im2col.sm_86.cubin,wmma_gemm_conv,64,128,8192,0,TRUE,0,FALSE,388,8,32
phase4/conv2d/conv2d_implicit_gemm_v2.sm_86.cubin,implicit_gemm_conv_v2,64,512,32768,38.9,FALSE,0,FALSE,424,2,32
phase4/conv2d/conv2d.sm_86.cubin,conv2d_nhwc,64,128,8192,4.5,FALSE,0,FALSE,404,8,32
phase2/hgemm_sparse/hgemm_sparse_tiled.sm_86.cubin,hgemm_sparse_tiled,63,512,32256,29,FALSE,0,FALSE,396,2,32
phase3/flash_attention/flash_attn.sm_86.cubin,flash_attn_multihead,56,NA,NA,16,FALSE,0,FALSE,396,NA,NA
phase3/flash_attention/flash_attn.sm_86.cubin,flash_attn_1warp,56,128,7168,16,FALSE,0,FALSE,392,6,24
phase4/conv2d/conv2d_implicit_gemm.sm_86.cubin,implicit_gemm_conv,56,128,7168,0,TRUE,0,FALSE,424,9,36
phase2/hgemm/hgemm.sm_86.cubin,hgemm_wmma,40,NA,NA,0,FALSE,0,FALSE,388,NA,NA
phase2/igemm/igemm.sm_86.cubin,igemm_wmma,40,NA,NA,0,FALSE,0,FALSE,396,NA,NA
phase2/sgemm/naive.sm_86.cubin,sgemm_naive,40,NA,NA,0,FALSE,0,FALSE,388,NA,NA
phase3/flash_attention/flash_split_q.sm_86.cubin,flash_attn_split_q_reduce,40,128,5120,0,FALSE,0,FALSE,396,12,48
phase4/conv2d/conv2d.sm_86.cubin,conv2d_1x1_nhwc,40,128,5120,0.5,FALSE,0,FALSE,404,12,48
phase4/groupnorm/groupnorm.sm_86.cubin,groupnorm_nchw,40,NA,NA,0,FALSE,0,FALSE,408,NA,NA
phase4/groupnorm/groupnorm.sm_86.cubin,groupnorm,40,NA,NA,0,FALSE,0,FALSE,408,NA,NA
phase2/sgemm/tiled.sm_86.cubin,sgemm_tiled,37,NA,NA,8.2,FALSE,0,FALSE,388,NA,NA
phase2/layernorm/layernorm.sm_86.cubin,layernorm_block,34,NA,NA,0,FALSE,0,FALSE,396,NA,NA
phase4/resblock/resblock.sm_86.cubin,groupnorm_silu_fused,32,NA,NA,0,FALSE,0,FALSE,408,NA,NA
phase2/hgemm_sparse/verify_wmma_ab_layout.sm_86.cubin,probe_frag_b_col,30,NA,NA,0.5,FALSE,0,FALSE,360,NA,NA
phase2/hgemm_sparse/verify_wmma_ab_layout.sm_86.cubin,probe_frag_b_row,30,NA,NA,0.5,FALSE,0,FALSE,360,NA,NA
phase2/hgemm_sparse/verify_wmma_ab_layout.sm_86.cubin,probe_frag_a,30,NA,NA,0.5,FALSE,0,FALSE,360,NA,NA
tests/hgemm_sparse/verify_wmma_ab_layout.sm_86.cubin,probe_frag_b_col,30,NA,NA,0.5,FALSE,0,FALSE,360,NA,NA
tests/hgemm_sparse/verify_wmma_ab_layout.sm_86.cubin,probe_frag_b_row,30,NA,NA,0.5,FALSE,0,FALSE,360,NA,NA
tests/hgemm_sparse/verify_wmma_ab_layout.sm_86.cubin,probe_frag_a,30,NA,NA,0.5,FALSE,0,FALSE,360,NA,NA
phase4/conv2d/conv2d_im2col.sm_86.cubin,im2col_nhwc_fp16,28,128,3584,0,TRUE,0,FALSE,404,12,48
phase2/layernorm/layernorm.sm_86.cubin,layernorm_warp,27,NA,NA,0,FALSE,0,FALSE,396,NA,NA
phase4/timestep_emb/timestep_emb.sm_86.cubin,timestep_emb_with_silu_scale,24,NA,NA,0,FALSE,0,FALSE,392,NA,NA
phase2/softmax/softmax.sm_86.cubin,softmax_block,23,NA,NA,0,FALSE,0,FALSE,376,NA,NA
phase5/attention_layer/utils.sm_86.cubin,residual_add,18,NA,NA,0,FALSE,0,FALSE,380,NA,NA
phase2/softmax/softmax.sm_86.cubin,softmax_warp,16,NA,NA,0,FALSE,0,FALSE,376,NA,NA
phase4/timestep_emb/timestep_emb.sm_86.cubin,timestep_emb_batch,16,NA,NA,0,FALSE,0,FALSE,376,NA,NA
phase5/attention_layer/utils.sm_86.cubin,transpose_bhsd,15,NA,NA,0,FALSE,0,FALSE,384,NA,NA
phase5/attention_layer/utils.sm_86.cubin,transpose_bshd,15,NA,NA,0,FALSE,0,FALSE,384,NA,NA
phase5/attention_layer/utils.sm_86.cubin,fp16_to_fp32,14,NA,NA,0,FALSE,0,FALSE,372,NA,NA
phase2/activations/activations_fast.sm_86.cubin,gelu_fast,13,NA,NA,0,FALSE,0,FALSE,372,NA,NA
phase2/activations/activations_fast.sm_86.cubin,silu_kernel,13,NA,NA,0,FALSE,0,FALSE,372,NA,NA
phase2/activations/activations.sm_86.cubin,gelu_fast,13,NA,NA,0,FALSE,0,FALSE,372,NA,NA
phase2/activations/activations.sm_86.cubin,silu_kernel,13,NA,NA,0,FALSE,0,FALSE,372,NA,NA
phase1/vector_add.sm_86.cubin,vector_add,12,NA,NA,0,FALSE,0,FALSE,380,NA,NA
phase2/activations/activations_fast.sm_86.cubin,gelu_kernel,12,NA,NA,0,FALSE,0,FALSE,372,NA,NA
phase2/activations/activations.sm_86.cubin,gelu_kernel,12,NA,NA,0,FALSE,0,FALSE,372,NA,NA
phase4/resblock/resblock.sm_86.cubin,residual_add,12,NA,NA,0,FALSE,0,FALSE,380,NA,NA
phase4/timestep_emb/timestep_emb.sm_86.cubin,timestep_emb_single,12,NA,NA,0,FALSE,0,FALSE,372,NA,NA
phase5/attention_layer/utils.sm_86.cubin,fp32_to_fp16,12,NA,NA,0,FALSE,0,FALSE,372,NA,NA
experiments/rust-experiments/vecadd_oxide.sm_86.cubin,vecadd,12,NA,NA,0,FALSE,0,FALSE,400,NA,NA
phase2/activations/activations_fast.sm_86.cubin,relu_kernel,10,NA,NA,0,FALSE,0,FALSE,372,NA,NA
phase2/activations/activations.sm_86.cubin,relu_kernel,10,NA,NA,0,FALSE,0,FALSE,372,NA,NA
